H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
29,63,42,30,25,30,23,88,45,29,69,65,29,80,18,29,83,52,28,97,99
178,25,65,118,30,65,39,45,89,27,120,99,180,120,56,39,120,76,350,100,76
215,54,70,175,70,50,215,68,60,38,92,98,355,95,55,15,100,97,0,100,85
160,45,50,80,53,45,210,70,60,14,85,75,184,91,57,120,90,55,52,78,90
41,50,95,26,57,99,22,75,88,205,100,53,205,100,24,240,100,55,206,100,80 
310,75,38,40,45,87,10,100,60,5,100,85,320,56,18,20,110,95,59,100,50
32,50,95,57,37,68,127,30,65,49,100,93,200,86,65,22,100,93,10,105,104
102,53,52,59,55,79,59,97,45,60,105,65,140,50,65,59,95,87,15,95,85
75,55,75,59,48,92,48,65,55,42,99,79,55,85,60,100,55,55,6,91,55
165,32,65,60,56,54,56,34,90,45,92,99,23,45,37,60,116,45,27,98,90
64,48,75,21,100,63,85,78,52,52,48,88,42,113,80,155,80,62,15,100,70
50,105,80,219,95,90,206,55,83,246,115,85,196,100,70,86,70,45,30,85,80 
155,55,43,170,74,67,138,74,30,25,70,35,95,100,45,140,105,24,25,119,55
0,71,60,180,51,78,198,51,53,18,91,78,33,101,88,198,91,78,198,91,53
68,40,70,199,54,75,175,55,72,199,100,68,180,105,53,225,80,65,49,85,93
195,57,75,200,50,90,207,54,79,220,76,62,199,110,72,210,86,83,11,86,95
184,50,75,60,55,76,155,52,22,32,68,40,184,113,59,155,92,48,46,88,87
35,85,80,42,60,95,30,115,80,172,86,58,172,50,42,42,88,90,10,100,95
80,45,70,211,98,70,82,80,50,246,90,55,220,108,65,180,88,70,151,90,30
137,49,60,180,50,70,206,110,75,223,85,60,170,100,50,100,95,40,5,94,45
0,58,90,34,49,90,48,62,99,356,84,93,38,92,98,15,100,95,162,68,1
185,50,69,14,62,93,355,65,80,18,38,40,14,81,88,185,100,60,46,81,93
43,56,90,183,47,44,90,38,70,183,87,64,43,96,86,28,92,85,1,90,97
57,42,95,0,85,60,46,61,61,201,55,19,353,97,95,25,98,95,301,85,35
43,54,95,83,60,40,330,83,72,0,90,70,43,100,100,22,92,93,320,56,28
67,32,71,49,50,97,30,58,90,67,102,51,32,98,91,339,100,70,311,86,49
25,60,74,45,82,80,150,65,60,55,92,97,23,43,47,180,86,60,120,86,40
145,51,64,61,48,73,42,52,90,10,85,75,60,80,50,155,85,70,350,84,65
55,42,87,181,60,75,161,55,50,55,82,87,31,90,97,17,47,49,95,86,35
180,60,55,105,40,76,150,61,55,45,85,85,18,49,45,355,90,80,20,92,90
68,45,72,195,50,65,180,44,45,175,65,76,199,94,60,78,70,55,49,85,93
9,-15,45,9,-15,75,50,-15,35,50,-15,57,50,-15,25,50,-15,97,308,-15,0
221,40,55,37,50,95,0,0,0,221,77,39,37,93,99,0,0,25,0,-35,95
70,21,90,20,54,82,69,22,49,30,34,87,26,47,51,76,38,66,39,70,87
45,70,60,69,42,45,40,55,75,20,50,50,0,0,15,38,92,60,0,80,45
15,92,57,215,44,50,215,68,33,356,84,40,38,92,60,60,40,40,155,90,30
